,Headline
0,Uttarakhand: Leopard trapped in cage burnt alive; 150 people booked
1,Former Uttarakhand Minister dies by suicide after being booked for molesting granddaughter
2,Navi Mumbai police nab Uttarakhand man with revolvers
3,भारत-नेपाल मिलकर कसेंगे अपराध और तस्करों पर नकेल
4,"Uttarakhand AAP’s CM face Ajay Kothiyal joins BJP, calls it course correction"
5,Navi Mumbai Cops Nab Uttarakhand Man With Revolvers
6,एसपी लोकेश्वर ने साइबर क्राइम के बारे में बताया
7,Leopard Burnt Alive: ಚಿರತೆಯನ್ನು ಜೀವಂತ ಸುಟ್ಟ ಮಂದಿ! 150 ಜನರ ವಿರುದ್ಧ FIR
8,"Ex-Uttarakhand Minister kills self after being booked for molesting granddaughter, daughter-in-law booked for abetment to suicide"
9,crime in Simiyari
10,crime in Simiyari
11,crime in Thewa
12,crime in Utari Gaon
